,star_key
788,288.65359_39.66431
790,286.83487_39.76085
791,298.77338_47.78647
792,293.61121_39.41752
793,295.51068_42.93056
795,289.24817_42.56556
796,284.82272_46.01372
797,282.18439_46.00686
798,294.68027_49.14016
799,297.97922_48.55387
800,286.03635_49.61451
801,295.03461_48.88217
802,297.3916_48.56069
803,286.57483_44.7952
804,288.90857_44.64241
805,286.07523_44.66464
806,299.2749_44.55349
808,293.53415_44.97111
810,295.37079_39.17721
811,289.7261_39.27283
813,288.91644_39.59471
814,291.92065_45.24703
815,297.57349_45.2333
817,292.48694_46.19621
818,286.36188_45.55516
819,290.49307_45.2059
820,283.9368_49.11033
823,289.04999_51.41837
826,289.80521_46.49171
827,293.6413_44.65704
828,294.12143_48.34952
829,293.6413_44.65704
831,288.86734_44.61573
833,288.91644_39.59471
834,288.91644_39.59471
835,296.65308_39.32269
836,289.7439_39.2863
837,297.71185_45.26192
838,293.38663_45.87027
839,283.18909_45.36417
840,294.91586_45.78387
841,293.70905_45.28639
844,297.89658_43.56389
845,294.54739_43.53369
848,289.60382_46.31495
849,283.25681_45.08778
850,299.22162_44.69387
851,285.0361_45.07106
852,285.0361_45.07106
854,291.02014_39.22068
855,296.35867_39.11519
856,296.35867_39.11519
857,296.35867_39.11519
858,296.35867_39.11519
859,284.79102_45.22899
861,291.02185_37.76979
865,286.91711_38.87222
868,293.59583_39.02948
869,298.34421_45.40992
870,300.51712_44.38158
871,284.67728_44.79768
872,297.11511_41.90914
873,284.67728_44.79768
874,284.67728_44.79768
875,284.67728_44.79768
876,285.61746_39.37953
877,292.27612_39.55018
880,284.58255_39.22021
881,285.96786_45.73907
883,293.17416_45.52123
884,294.79001_45.39162
885,295.92609_45.38386
887,293.64841_38.97602
890,295.21664_38.77433
891,286.58316_39.0772
892,293.37225_44.78514
893,293.37225_44.78514
894,296.71735_44.57966
895,286.96683_44.99249
897,297.71185_45.26192
898,296.43408_39.44407
899,290.47742_39.73201
900,294.7699_39.39851
901,294.7699_39.39851
902,287.05453_45.18037
903,294.4639_49.76504
905,287.45279_45.7044
906,285.98865_45.37781
908,286.58316_39.0772
909,288.1337_38.99688
910,290.86142_38.64113
911,291.01904_38.54557
913,287.99789_50.94433
914,296.00711_44.85347
916,297.11511_41.90914
917,291.63699_47.83234
918,298.25803_48.21736
919,282.23273_48.2712
921,284.86014_39.24055
923,291.61008_42.75976
924,293.02036_42.50884
925,292.7399_42.3594
926,285.24667_45.95019
927,285.43552_45.97602
928,291.07468_45.24258
929,285.34583_45.36778
930,285.34583_45.36778
931,285.34583_45.36778
933,290.10718_38.70223
934,290.10718_38.70223
935,292.4968_39.19317
936,293.8129_42.04871
937,291.98694_42.03765
938,289.02017_48.11981
939,297.71039_48.08383
940,296.71634_48.21126
941,290.29385_47.96759
942,294.0217_48.39042
943,296.93268_48.26649
945,286.30026_42.37483
947,294.09109_42.49146
948,297.46533_42.88284
949,297.46533_42.88284
950,294.21893_49.47922
951,301.26144_45.10489
952,293.38153_48.82476
954,284.98886_49.62606
955,298.76062_48.60018
957,295.86691_42.06267
959,298.09171_41.79413
960,287.99789_50.94433
961,288.03989_41.81836
963,297.116_47.73795
964,296.83725_48.23994
965,297.11511_41.90914
967,289.79077_48.44814
968,298.80545_42.39584
969,294.96606_42.70857
972,295.8255_42.94339
973,287.05173_40.21155
974,285.41196_48.72523
977,286.54001_49.43733
978,286.54001_49.43733
979,294.21893_49.47922
980,297.33563_41.89048
981,281.74261_42.12308
982,297.88437_41.93125
986,293.61371_47.839
987,293.61371_47.839
988,293.2822_48.2859
989,291.59409_48.44561
990,293.14648_47.72965
991,295.8255_42.94339
992,295.8255_42.94339
993,295.8255_42.94339
994,291.02069_42.46244
996,286.54001_49.43733
997,284.25131_48.80961
998,292.32858_49.65354
1000,283.20917_48.77764
1005,294.58929_41.94438
1006,297.20895_41.78171
1007,293.14648_47.72965
1009,297.11511_41.90914
1011,296.61487_48.08264
1012,297.79691_39.92137
1013,288.82291_40.38905
1015,299.2475_46.95191
1016,291.23883_40.16351
1017,290.82602_44.18411
1019,295.02167_46.61922
1020,293.57776_46.73634
1021,294.16882_46.71461
1022,292.35394_46.22628
1023,288.23666_46.60592
1026,289.95078_50.65725
1027,294.44177_40.55759
1028,294.44177_40.55759
1029,294.44177_40.55759
1031,294.44177_40.55759
1032,290.05112_46.71337
1033,298.96255_40.63066
1036,291.40555_40.12549
1037,293.64417_46.98976
1038,294.78915_46.98399
1039,288.25458_43.70487
1043,295.45715_50.07717
1044,297.66452_43.24896
1045,296.82291_48.10755
1046,289.60678_39.93833
1047,295.04639_46.97459
1048,295.18561_46.78671
1050,296.03342_40.01961
1051,299.556_40.45655
1052,298.3949_40.62891
1054,285.47659_41.63272
1055,284.73859_47.16963
1056,290.35803_40.56774
1057,295.32251_39.37649
1058,294.32635_47.21761
1059,283.62885_48.391
1061,284.27396_41.53502
1062,295.21661_50.08433
1063,297.04651_49.97039
1066,297.72427_43.52743
1068,297.72427_43.52743
1069,299.22433_40.34318
1070,299.22433_40.34318
1071,299.22433_40.34318
1072,299.22433_40.34318
1074,289.50635_45.371
1075,296.04736_42.74301
1077,298.5892_40.75069
1079,298.11121_41.75833
1081,293.60126_42.37976
1083,292.87616_48.19531
1084,291.26974_42.09604
1085,295.52521_46.45943
1087,291.23114_50.56702
1088,299.07813_44.29379
1089,287.28531_51.24998
1090,291.0838_40.35525
1091,296.33319_40.89626
1092,299.14142_40.7259
1095,297.58313_41.95243
1096,297.58313_41.95243
1098,284.87997_49.26699
1099,290.41199_44.89933
1100,291.74838_39.44688
1102,300.9296_44.02879
1103,291.41833_42.57982
1104,294.36673_42.25268
1106,288.01486_46.34895
1107,282.36349_46.67524
1108,289.42459_50.99412
1109,295.40253_50.47863
1110,294.52713_43.36816
1111,295.26349_46.14802
1114,297.50385_40.34297
1115,283.12964_43.88824
1118,290.59207_45.73714
1119,290.98331_45.9733
1124,299.60202_43.696
1126,282.62967_46.32336
1128,295.41745_43.60564
1129,286.88751_50.37707
1130,291.64676_41.88466
1131,296.98853_46.59688
1133,297.82944_40.70678
1134,288.73407_46.93939
1135,296.84616_40.13861
1140,298.46579_48.55941
1141,284.64886_41.01502
1142,298.60788_46.45368
1143,298.60788_46.45368
1144,298.14053_40.07387
1145,282.96616_48.34507
1146,299.95721_44.77189
1147,289.32101_46.13432
1148,283.13547_43.65705
1149,283.13547_43.65705
1150,296.4032_51.27134
1151,294.95685_43.01433
1152,297.91687_46.96513
1153,297.91687_46.96513
1155,296.99191_40.75891
1156,297.79514_40.41771
1157,298.29495_48.77546
1158,298.29495_48.77546
1160,284.13263_48.82512
1161,284.13287_49.14261
1163,294.94388_39.03206
1164,294.94388_39.03206
1165,294.14682_39.12706
1167,297.3013_43.14189
1169,289.85913_46.52267
1170,285.2962_46.60344
1171,298.17722_42.23704
1172,297.79514_40.41771
1173,292.85574_46.39118
1175,289.29065_51.40889
1176,294.73419_40.86142
1177,294.83032_46.73435
1178,284.29694_49.15868
1179,284.61621_49.19081
1180,283.79654_49.50399
1186,287.60559_49.52326
1187,287.60559_49.52326
1188,295.80658_50.9098
1190,288.92575_39.90155
1191,281.97125_43.67277
1192,288.99258_46.67075
1193,293.66507_40.35953
1194,282.43918_43.73448
1195,282.43918_43.73448
1197,290.58685_51.69582
1198,286.58539_46.87093
1199,295.28723_41.22196
1202,290.73804_39.91965
1203,294.13202_39.98198
1205,294.74207_43.53683
1206,287.14313_46.50806
1208,287.80457_46.23893
1211,294.6499_43.33559
1212,287.03952_46.64013
1213,287.03952_46.64013
1214,286.43365_50.30033
1216,297.48257_40.68078
1217,296.17728_46.99902
1219,291.15295_40.88749
1220,294.17108_40.05517
1223,290.10654_40.49066
1225,288.25864_43.37646
1226,296.91724_43.51753
1229,297.17429_43.4791
1230,292.03149_49.38862
1231,292.58444_49.92316
1232,288.66156_49.73721
1233,286.27176_43.59523
1234,290.09082_39.81699
1235,298.25204_40.49608
1236,298.25204_40.49608
1237,298.25204_40.49608
1238,298.25204_40.49608
1239,298.25204_40.49608
1240,289.67935_40.70046
1241,295.28723_41.22196
1243,290.92316_40.77103
1245,289.38351_41.39269
1246,298.82254_46.65027
1247,293.26093_44.86889
1249,297.35233_46.09594
1250,288.76318_50.17422
1251,290.09082_39.81699
1252,295.52121_49.73863
1255,296.62979_46.8802
1256,284.664_43.98502
1259,294.36487_40.72088
1262,293.53448_41.3299
1263,293.87988_41.39382
1264,298.50726_41.47905
1265,289.92072_41.54283
1266,298.48111_41.61534
1267,294.6741_42.07558
1268,294.63239_43.40047
1271,297.43039_39.84784
1272,297.43039_39.84784
1273,297.43039_39.84784
1274,297.70935_48.08085
1275,286.24344_50.04038
1276,297.04541_46.3287
1277,299.10327_40.8493
1279,298.9024_40.31953
1282,293.87265_46.71495
1283,289.73169_46.95382
1285,294.6741_42.07558
1287,297.13263_42.76825
1288,297.51907_42.77706
1289,290.85413_51.22281
1290,293.26093_44.86889
1292,288.84863_51.20905
1293,296.43814_46.61536
1294,296.87762_43.94163
1295,290.44736_40.44289
1296,295.32077_40.18736
1297,293.83688_40.41045
1301,294.99631_50.47006
1303,288.83936_46.98674
1304,288.83936_46.98674
1306,298.01443_42.95746
1308,296.95206_43.27197
1309,298.0231_43.36352
1310,286.74188_43.1901
1313,288.02271_43.54821
1314,290.61679_49.95762
1316,286.25644_46.89267
1318,297.04541_46.3287
1320,290.56668_40.67816
1321,288.83936_46.98674
1322,298.37384_40.61842
1323,297.84399_39.98981
1324,288.77103_40.66418
1325,288.77103_40.66418
1327,295.28723_41.22196
1328,289.56866_43.53861
1329,290.28845_43.75532
1330,290.82602_44.18411
1331,282.17941_46.45717
1332,294.31699_43.62934
1333,291.90704_49.26205
1334,294.31699_43.62934
1337,288.43576_43.76349
1338,295.21103_46.75723
1340,296.4176_46.73202
1341,289.86157_43.47277
1342,292.67807_46.72671
1343,292.67807_46.72671
1344,293.98157_46.68775
1345,283.60526_39.99798
1348,294.51126_38.7905
1349,298.86658_46.50224
1351,295.30008_40.55659
1352,298.51532_41.8912
1353,295.02567_46.956
1354,297.27057_50.12181
1355,296.52243_43.36337
1357,293.0795_43.07371
1358,288.44739_44.80168
1359,288.44739_44.80168
1361,291.96069_42.43301
1364,295.71225_45.58977
1366,289.59308_49.78116
1367,297.21408_41.66404
1369,284.34274_46.31655
1372,286.55807_38.40537
1373,286.47147_49.64902
1374,286.47147_49.64902
1375,286.47147_49.64902
1376,286.47147_49.64902
1377,292.02045_44.87622
1378,297.35928_49.79755
1382,288.57443_40.98866
1383,292.13297_41.54754
1384,287.36127_43.73878
1385,300.41751_45.60552
1386,292.49963_46.32441
1387,292.49963_46.32441
1391,285.38742_45.04905
1392,295.79218_47.6001
1393,289.83542_49.82563
1394,289.83542_49.82563
1395,289.83542_49.82563
1396,295.02567_46.956
1397,285.60254_50.11204
1399,286.28601_43.32046
1400,295.75412_42.53748
1402,286.40231_38.73854
1403,293.68192_45.81756
1405,289.93085_40.09775
1406,290.8154_39.81947
1407,298.62488_48.57745
1409,295.94641_42.65892
1411,294.64816_46.39236
1413,294.32553_46.00225
1414,294.32553_46.00225
1415,294.32553_46.00225
1417,289.62524_40.70873
1418,296.87683_41.08058
1420,286.66296_47.4137
1422,282.85992_42.66576
1424,283.84515_44.60909
1425,286.11536_37.967
1426,295.22879_45.97102
1427,295.22879_45.97102
1430,293.19537_49.3165
1432,292.04437_46.32903
1433,284.09457_41.18282
1434,295.8287_43.42549
1435,290.16525_49.92386
1436,299.25031_43.41044
1437,293.09253_41.35552
1438,292.28607_40.91359
1439,295.30753_38.88164
1440,292.28607_40.91359
1441,287.14066_47.11519
1442,287.14066_47.11519
1445,289.04221_42.88249
1446,295.18164_49.94578
1447,291.71146_42.3415
1449,291.22433_45.77809
1450,291.03363_42.26786
1453,285.01309_40.22075
1455,290.54855_38.49528
1456,290.54855_38.49528
1458,287.14066_47.11519
1459,289.19263_44.14932
1460,297.40155_46.824
1461,289.29626_46.45795
1462,290.24805_44.43524
1463,290.16513_51.46726
1464,298.49329_47.01304
1465,280.92612_44.08793
1466,298.97217_44.13238
1467,298.3266_45.31551
1468,285.79947_42.81178
1469,285.79947_42.81178
1470,295.94641_42.65892
1472,292.42108_37.68282
1474,300.37128_46.40828
1475,294.61301_45.06017
1476,289.2489_47.6501
1477,288.41769_46.59043
1478,296.06433_45.42862
1479,290.23764_41.33138
1480,288.79303_48.04023
1481,290.23764_41.33138
1482,290.23764_41.33138
1483,283.11377_48.13139
1485,289.19958_49.30572
1486,288.66891_39.82401
1487,281.66299_47.56858
1488,292.42108_37.68282
1489,294.15271_38.23304
1493,287.13058_42.35015
1494,285.10406_45.00817
1495,296.95886_46.39413
1497,292.0134_49.01912
1498,291.53439_47.0425
1499,285.12204_44.1106
1500,292.75732_43.42691
1501,294.61365_45.98462
1505,299.21317_41.42483
1506,284.18329_45.0741
1507,297.02109_41.37717
1510,292.59164_38.39966
1511,299.5495_45.76975
1512,296.46448_49.18291
1513,289.44452_41.31776
1514,290.14432_44.04995
1516,291.55695_39.22729
1517,291.55695_39.22729
1518,291.55695_39.22729
1519,294.2869_40.21381
1520,293.6792_46.85276
1521,288.79303_48.04023
1522,296.98605_42.72998
1523,283.80954_41.04124
1524,290.06049_47.16396
1525,298.83334_46.65453
